,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 14 30,28758.41985258684,159.0,139864.09382105072,,,,Upper 20% of displacements
b 14 35,30067.50106036933,159.0,163545.56838322835,,,,Upper 20% of displacements
b 14 40,30318.53859795396,159.0,,187428.41823842432,,,Lower 80% of displacements
b 14 45,30475.341882030414,159.0,,211410.7499453884,,,Lower 80% of displacements
b 14 50,31564.819912750107,159.0,,235329.38877489028,,,Lower 80% of displacements
b 14 55,33061.518646086304,159.0,,,,259273.78106580826,Lower 80% of displacements
b 14 60,34226.49268495901,159.0,,,,283471.0069069107,Lower 80% of displacements
b 14 65,36046.756247302736,159.0,,,,307626.56674841605,Lower 80% of displacements
b 14 70,37103.75452507336,159.0,,,,332007.4108462783,Lower 80% of displacements
b 14 75,38171.379489521896,159.0,,,,356511.5767899717,Lower 80% of displacements
b 14 80,39348.61074557695,159.0,,,,381149.755154641,Lower 80% of displacements
b 14 85,40423.10466167109,159.0,,,,405833.84433510323,Lower 80% of displacements
b 14 90,41693.80010491016,159.0,,,,430535.8676127212,Lower 80% of displacements
b 14 95,42874.64239277737,159.0,,,,455384.7551178081,Lower 80% of displacements
b 14 100,43846.72034482378,159.0,,,,480085.5544237622,Lower 80% of displacements
b 15 5,22733.505038161344,159.0,,21914.02213548126,,,Lower 80% of displacements
b 15 10,23563.389618473586,159.0,,44042.10267861598,,,Lower 80% of displacements
b 15 15,24697.072623069842,159.0,,66248.36133204208,,,Lower 80% of displacements
b 15 20,26420.4956513964,159.0,88468.90358732066,,,,Upper 20% of displacements
b 15 25,27272.16473549856,159.0,,110894.17369476664,,,Lower 80% of displacements
b 15 30,28444.813184720377,159.0,,133409.43172319693,,,Lower 80% of displacements
b 15 35,29663.90012687577,159.0,155886.8261113038,,,,Upper 20% of displacements
b 15 40,30791.414213109972,159.0,178592.34004949985,,,,Upper 20% of displacements
b 15 45,29946.534584709574,159.0,,201511.93280681715,,,Lower 80% of displacements
b 15 50,31055.789636472065,159.0,,224292.75634183164,,,Lower 80% of displacements
b 15 55,32183.165767929917,159.0,,,,247204.71693217522,Lower 80% of displacements
b 15 60,33663.964668618355,159.0,,,,270116.6538913277,Lower 80% of displacements
b 15 65,34840.19065585426,159.0,,,,293253.3870502304,Lower 80% of displacements
b 15 70,36437.94693151635,159.0,,,,316352.2840514084,Lower 80% of displacements
b 15 75,37495.462204103154,159.0,,,,339649.1951155868,Lower 80% of displacements
b 15 80,38530.131817831956,159.0,,,,363066.5431909675,Lower 80% of displacements
b 15 85,39680.3968189848,159.0,,,,386606.3822645903,Lower 80% of displacements
b 15 90,40780.497826646635,159.0,,,,410230.0527643065,Lower 80% of displacements
b 15 95,41886.35784448965,159.0,,,,433800.4707793223,Lower 80% of displacements
b 15 100,43373.44337594473,159.0,,,,457466.36793537997,Lower 80% of displacements
b 16 5,22684.822313271576,159.0,,20898.53636072888,,,Lower 80% of displacements
b 16 10,23595.574714861534,159.0,,41957.81057776075,,,Lower 80% of displacements
b 16 15,24577.606839613145,159.0,,63123.3204079187,,,Lower 80% of displacements
b 16 20,26108.44163728735,159.0,84315.97397410794,,,,Upper 20% of displacements
b 16 25,27091.814367431816,159.0,105669.98711372426,,,,Upper 20% of displacements
b 16 30,28047.645040890402,159.0,,127120.06912813152,,,Lower 80% of displacements
